    1,   AZ,Total___Total,    8446.98,   115
    1,   AZ,  ***tr1___LL,     768.75,    89
    1,   AZ,  ***tr1___SP,    1300.84,    21
    1,   AZ,  tr1___Total,     532.09,   110
    1,   AZ,  ***tr2___LL,    7914.89,     6
    1,   AZ,  tr2___Total,    7914.89,     6
    1,   BE,Total___Total, 3783382.69,  6236
    1,   BE,  ***tr1___LL,  112460.92,  1166
    1,   BE,  ***tr1___PA,    3746.13,    16
    1,   BE,  ***tr1___SP,  269583.84,  4389
    1,   BE,  tr1___Total,  385790.89,  5570
    1,   BE,  ***tr2___LL,  344045.84,   277
    1,   BE,  ***tr2___PA,      92.74,     1
    1,   BE,  ***tr2___SP,  760515.83,   347
    1,   BE,  tr2___Total, 1104654.41,   625
    1,   BE,  ***tr3___LL,  312046.66,    10
    1,   BE,  ***tr3___SP, 1980890.73,    31
    1,   BE,  tr3___Total, 2292937.39,    41
    1,   FZ,Total___Total,  397813.52, 14946
    1,   FZ,  ***tr1___LL,   53503.24,  4717
    1,   FZ,  ***tr1___PA,     438.13,   849
    1,   FZ,  ***tr1___SP,  109239.17,  8914
    1,   FZ,  tr1___Total,  163180.54, 14479
    1,   FZ,  ***tr2___LL,   34402.64,    62
    1,   FZ,  ***tr2___SP,   84090.65,   399
    1,   FZ,  tr2___Total,  118493.29,   461
    1,   FZ,  ***tr3___LL,       0.00,     2
    1,   FZ,  ***tr3___SP,  116139.69,     5
    1,   FZ,  tr3___Total,  116139.69,     7
    1,   GI,Total___Total, 1634169.06, 31429
    1,   GI,  ***tr1___LL,  290777.63, 12062
    1,   GI,  ***tr1___PA,     610.60,    41
    1,   GI,  ***tr1___SP,  320323.67, 17924
    1,   GI,  tr1___Total,  611711.90, 30026
    1,   GI,  ***tr2___LL,  252498.79,   642
    1,   GI,  ***tr2___PA,      96.93,     1
    1,   GI,  ***tr2___SP,  351450.62,   737
    1,   GI,  tr2___Total,  604046.35,  1380
    1,   GI,  ***tr3___LL,  118029.89,    12
