  tr1,Total,Total,Total, 5900937.77,227094
  tr2,Total,Total,Total, 6538420.07,  7804
  tr3,Total,Total,Total, 6794859.38,   228
Total,   PA,Total,Total,   15128.19,  1444
Total,   LL,Total,Total,10168927.71,125905
Total,   SP,Total,Total, 9050161.32,107777
Total,Total,Total,    2, 6692767.60, 77736
Total,Total,Total,    1, 9280934.38,110405
Total,Total,Total,    4, 1905265.87, 22016
Total,Total,Total,    3, 1355249.38, 24969
Total,Total,   MN,Total, 2107896.86, 42624
Total,Total,   RU,Total,  363024.06, 26264
Total,Total,   OQ,Total,  693131.25, 28235
Total,Total,   FZ,Total,  804373.64, 29869
Total,Total,   BE,Total, 6320525.81, 13478
Total,Total,   KZ,Total,  633021.64,  8569
Total,Total,   GI,Total, 4105453.46, 64610
Total,Total,   LZ,Total, 2501205.32, 12564
Total,Total,   JZ,Total, 1688239.96,  8506
Total,Total,   AZ,Total,   17345.24,   408
  tr1,   PA,Total,Total,   14602.58,  1438
  tr1,   LL,Total,Total, 3281089.58,121568
  tr2,   LL,Total,Total, 4087317.73,  4216
  tr1,   SP,Total,Total, 2605245.60,104089
  tr2,   PA,Total,Total,     525.61,     6
  tr2,   SP,Total,Total, 2450576.73,  3582
  tr3,   LL,Total,Total, 2800520.40,   121
  tr3,   SP,Total,Total, 3994338.98,   107
  tr1,Total,Total,    2, 2331543.40, 75084
  tr1,Total,Total,    1, 2531982.82,106675
  tr2,Total,Total,    1, 2938396.57,  3620
  tr1,Total,Total,    4,  476441.75, 21315
  tr2,Total,Total,    3,  638719.39,   927
  tr1,Total,Total,    3,  560969.80, 24021
  tr2,Total,Total,    2, 2063578.50,  2570
  tr2,Total,Total,    4,  897725.61,   687
  tr3,Total,Total,    1, 3810554.98,   110
  tr3,Total,Total,    3,  155560.19,    21
  tr3,Total,Total,    2, 2297645.70,    83
  tr3,Total,Total,    4,  531098.51,    14
  tr1,Total,   MN,Total, 1079997.82, 41049
  tr1,Total,   RU,Total,  243508.70, 26084
  tr2,Total,   OQ,Total,  163399.91,   411
  tr1,Total,   OQ,Total,  199486.96, 27812
  tr1,Total,   FZ,Total,  306188.90, 28729
  tr1,Total,   BE,Total,  724648.89, 12026
  tr1,Total,   KZ,Total,  556530.47,  8450
  tr1,Total,   GI,Total, 1737142.53, 61842
  tr2,Total,   LZ,Total,  844264.75,   110
  tr1,Total,   LZ,Total,  815769.86, 12451
  tr2,Total,   GI,Total, 1478286.39,  2702
  tr2,Total,   RU,Total,  111819.34,   178
  tr1,Total,   JZ,Total,  228404.04,  8252
  tr2,Total,   BE,Total, 2462986.81,  1384
  tr2,Total,   MN,Total,  581803.43,  1531
  tr2,Total,   KZ,Total,   46733.36,   117
  tr1,Total,   AZ,Total,    9259.59,   402
  tr2,Total,   JZ,Total,  480016.59,   237
  tr2,Total,   FZ,Total,  361023.85,  1131
  tr3,Total,   KZ,Total,   29757.80,     2
  tr3,Total,   GI,Total,  890024.54,    67
  tr3,Total,   MN,Total,  446095.60,    44
  tr3,Total,   LZ,Total,  841170.71,     4
  tr3,Total,   BE,Total, 3132890.11,    69
  tr3,Total,   JZ,Total,  979819.32,    17
  tr3,Total,   OQ,Total,  330244.38,    13
  tr2,Total,   AZ,Total,    8085.65,     7
  tr3,Total,   FZ,Total,  137160.90,    10
  tr3,Total,   RU,Total,    7696.01,     2
Total,   PA,Total,    2,    2592.39,   213
Total,   LL,Total,    1, 3517984.65, 39476
Total,   LL,Total,    4, 1827061.51, 21660
Total,   LL,Total,    3, 1107849.42, 18957
Total,   LL,Total,    2, 3716032.13, 45813
Total,   PA,Total,    1,    9682.87,  1201
Total,   SP,Total,    1, 5753266.85, 69729
Total,   SP,Total,    3,  247355.33,  6002
Total,   SP,Total,    2, 2974143.08, 31712
Total,   SP,Total,    4,   75396.06,   336
Total,   PA,Total,    4,    2808.30,    20
Total,   PA,Total,    3,      44.63,    11
Total,   PA,   MN,Total,    2034.39,    96
Total,   LL,   RU,Total,  178306.48, 13873
Total,   LL,   OQ,Total,  501944.32, 15038
Total,   LL,   MN,Total, 1435583.81, 24538
Total,   LL,   FZ,Total,  401159.78, 13678
Total,   LL,   BE,Total, 2730163.37,  6956
Total,   LL,   KZ,Total,  301417.02,  4652
Total,   LL,   GI,Total, 2169562.51, 35172
Total,   LL,   LZ,Total, 1881692.25,  6765
