FR611,  tr3,      232.8281,     1
FR412,  tr3,     4935.1248,     1
FR621,  tr3,     7035.9478,     2
FR821,  tr3,     7109.1885,     1
FR434,  tr2,     9364.4218,     6
FR721,  tr3,    10767.2415,     1
FR623,  tr3,    10979.1467,     1
FR302,  tr3,    11544.7814,     1
FR724,  tr3,    12468.7458,     1
FR515,  tr3,    12899.9450,     1
FR622,  tr3,    13382.3057,     2
FR514,  tr3,    18406.6883,     1
FR633,  tr3,    20984.5274,     1
FR433,  tr2,    26411.7778,    17
*FR83,  tr3,    27493.1707,     2
FR831,  tr3,    27493.1707,     2
FR524,  tr3,    28296.4992,     1
FR628,  tr2,    29010.7898,    11
FR822,  tr3,    29586.9210,     1
FR631,  tr3,    29765.6968,     1
FR244,  tr3,    31290.9344,     1
FR231,  tr3,    33067.2198,     2
FR212,  tr3,    34339.2451,     1
FR251,  tr3,    35275.5084,     3
FR412,  tr2,    37931.8794,    13
FR632,  tr2,    38324.8068,    42
FR223,  tr2,    42547.8459,    20
FR413,  tr3,    43674.8400,     1
FR722,  tr2,    44088.1206,    26
FR434,  tr3,    46476.4824,     1
FR811,  tr3,    47155.6497,     2
FR264,  tr3,    47608.2534,     1
FR627,  tr3,    50188.5145,     3
FR626,  tr2,    54633.6500,    14
FR614,  tr3,    57690.3832,     1
FR814,  tr1,    60356.7596,   664
FR821,  tr2,    63119.3236,    13
FR613,  tr3,    68393.8610,     1
FR102,  tr3,    68617.4444,     1
FR533,  tr2,    68952.6321,    29
FR632,  tr1,    69002.1004,   434
FR243,  tr2,    70666.3218,    13
FR624,  tr2,    72495.3100,    44
FR513,  tr2,    73033.1060,    36
FR615,  tr3,    74496.7360,     2
FR222,  tr3,    78144.7861,     1
*FR22,  tr3,    78144.7861,     1
FR626,  tr1,    79311.1874,   660
FR212,  tr1,    79698.3930,  1283
FR631,  tr2,    80214.9112,    20
FR246,  tr3,    80952.5256,     2
FR262,  tr2,    83711.4069,    12
FR532,  tr3,    89741.6122,     2
FR533,  tr3,    90780.8575,     2
FR522,  tr3,    94293.8883,     1
FR831,  tr1,    94546.1217,   625
FR432,  tr2,    96135.7176,    24
FR822,  tr2,    96651.8680,    20
FR814,  tr2,    98432.6165,   132
FR411,  tr3,   100565.9011,     3
FR222,  tr2,   100935.5717,    34
FR241,  tr2,   101479.6922,    23
FR826,  tr3,   101640.9345,     1
FR214,  tr2,   102204.7756,    32
FR211,  tr2,   103934.7249,    74
FR264,  tr2,   104344.6823,    52
FR823,  tr3,   104416.9089,     3
FR723,  tr3,   104443.2314,     2
FR621,  tr2,   104780.7585,    36
FR831,  tr2,   105569.4999,    17
FR412,  tr1,   107720.8715,   785
FR531,  tr3,   110499.6828,     2
FR625,  tr3,   110873.0081,     1
FR812,  tr3,   113830.0938,     2
FR253,  tr3,   114916.4612,     3
FR434,  tr1,   116871.2854,   212
FR252,  tr3,   119330.7032,     1
FR103,  tr2,   121227.1971,    40
FR723,  tr2,   124657.7613,    81
FR245,  tr1,   126479.8896,  1403
FR433,  tr3,   127519.6025,     1
*FR72,  tr3,   127679.2187,     4
FR625,  tr2,   129099.6210,    45
FR243,  tr1,   130839.9936,  1060
FR108,  tr3,   132472.8594,     1
FR626,Total,   133944.8374,   674
FR244,  tr2,   135859.8867,    29
FR632,  tr3,   143441.0834,     1
FR713,  tr2,   145816.6721,    43
FR412,Total,   150587.8757,   799
FR414,  tr3,   151648.4481,     2
FR625,  tr1,   152724.7921,   622
FR628,  tr1,   155316.9810,  1302
FR814,Total,   158789.3761,   796
FR815,  tr2,   159941.2824,    55
FR633,  tr2,   160665.4443,    68
FR832,  tr2,   165194.7272,    21
FR414,  tr2,   165630.4018,    60
FR241,  tr3,   166049.5777,     1
FR212,  tr2,   169675.7562,    27
FR245,  tr2,   172667.2013,    32
FR434,Total,   172712.1896,   219
FR614,  tr2,   173480.4945,    63
FR534,  tr2,   173688.2526,    44
FR712,  tr2,   176364.7417,    45
FR221,  tr2,   176895.4467,    83
FR724,  tr2,   177842.1706,    61
FR622,  tr2,   182241.4662,    29
FR213,  tr2,   183166.1406,    80
FR411,  tr2,   183454.0363,    28
FR628,Total,   184327.7708,  1313
FR431,  tr2,   190101.5222,    45
FR223,  tr1,   190929.8563,  1008
FR262,  tr1,   192310.0546,   529
*FR62,  tr3,   192458.9228,     9
FR241,  tr1,   192490.2803,  1116
