   01,   SP,      417.7176,     9
   01,   LL,      435.0627,     9
   01,Total,      852.7803,    18
   02,   SP,    15997.5954,   147
   02,   LL,    27625.1216,   240
   02,Total,    43622.7170,   387
   06,Total,   990200.7504,     1
   06,   SP,   990200.7504,     1
   07,   LL,        4.8250,     1
   07,   SP,     1416.6702,     3
   07,Total,     1421.4952,     4
   08,   LL,    72754.2392,    59
   08,   SP,    75292.0244,    25
   08,Total,   148046.2636,    84
   09,Total,    32293.6910,     2
   09,   LL,    32293.6910,     2
   10,   PA,     1928.3151,    10
   10,   LL,  1396977.2306,  1015
   10,   SP,  3274070.6495,  2231
   10,Total,  4672976.1952,  3256
   11,   SP,   150830.1854,    45
   11,   LL,   639907.0194,   554
   11,Total,   790737.2048,   599
   12,   LL,       72.7872,     1
   12,Total,       72.7872,     1
   13,   PA,       21.4824,     1
   13,   LL,   129432.6036,   126
   13,   SP,   159350.0149,   277
   13,Total,   288804.1009,   404
   14,   PA,        1.0000,     1
   14,   LL,    48769.0115,   197
   14,   SP,    52716.8911,   115
   14,Total,   101486.9026,   313
   15,   SP,    20462.7020,    36
   15,   LL,    98934.6846,    46
   15,Total,   119397.3866,    82
   16,   PA,       20.1852,     1
   16,   LL,   117122.0859,   181
   16,   SP,   350837.7701,   139
   16,Total,   467980.0412,   321
   17,   LL,   132930.1161,    47
   17,   SP,  1099869.5765,    25
   17,Total,  1232799.6926,    72
   18,   PA,      782.3702,     2
   18,   SP,    78181.6580,   297
   18,   LL,   104329.1227,   599
   18,Total,   183293.1509,   898
   19,   LL,    20395.7428,     2
   19,Total,    20395.7428,     2
   20,   SP,   236963.4352,    80
   20,   LL,  1098879.5495,    57
   20,Total,  1335842.9847,   137
   21,   SP,   317571.9859,     6
   21,   LL,  1411929.0375,     4
   21,Total,  1729501.0234,    10
   22,   LL,   350629.4025,    63
   22,   SP,   456146.8825,   104
   22,Total,   806776.2850,   167
   23,   PA,      259.4010,     1
   23,   LL,   285322.7678,   201
   23,   SP,  1327322.9625,    97
   23,Total,  1612905.1313,   299
   24,   LL,     8954.8437,    18
   24,   SP,  1025878.3303,    17
   24,Total,  1034833.1740,    35
   25,   PA,       34.5420,     1
   25,   SP,   628772.4307,   396
   25,   LL,   779704.9426,   622
   25,Total,  1408511.9153,  1019
   26,   SP,    69838.6797,    40
   26,   LL,   203379.9100,    37
   26,Total,   273218.5897,    77
   27,   PA,       53.8272,     1
   27,   SP,    91633.6166,    43
   27,   LL,   346144.0414,    52
   27,Total,   437831.4852,    96
   28,   LL,   339396.6633,    75
   28,   SP,   630318.9683,    69
   28,Total,   969715.6316,   144
   29,   SP,   155789.0713,    14
   29,   LL,   273139.5655,    45
   29,Total,   428928.6368,    59
   30,   PA,        7.0000,     2
   30,   SP,     5534.8435,     8
   30,   LL,    72359.8908,    62
   30,Total,    77901.7343,    72
   31,   LL,    38127.2327,   287
   31,   SP,   110328.0346,    67
   31,Total,   148455.2673,   354
   32,   LL,   110458.5947,   782
   32,   SP,   237573.5680,   322
   32,Total,   348032.1627,  1104
   33,   PA,      453.1458,     1
   33,   LL,   197042.0425,   361
   33,   SP,   264911.4457,   665
   33,Total,   462406.6340,  1027
